FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=2479
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service3
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Received 139, started at 1745373320793161176, ended at 1745373320793161177
Received 140, started at 1745373321410060101, ended at 1745373321410060102
Received 141, started at 1745373321615600327, ended at 1745373321615600328
Received 142, started at 1745373321685517455, ended at 1745373321685517456
Received 143, started at 1745373321896271997, ended at 1745373321896271998
Received 144, started at 1745373321918245190, ended at 1745373321918245191
Received 145, started at 1745373322714681990, ended at 1745373322714681991
Received 146, started at 1745373322882820267, ended at 1745373322882820268
Received 147, started at 1745373322925500962, ended at 1745373322925500963
Received 148, started at 1745373323076868581, ended at 1745373323076868582
Received 149, started at 1745373323079443616, ended at 1745373323079443617
Received 150, started at 1745373323090339172, ended at 1745373323090339173
Received 151, started at 1745373323155809041, ended at 1745373323155809042
Received 152, started at 1745373323217509932, ended at 1745373323217509933
Received 153, started at 1745373323234409173, ended at 1745373323234409174
Received 154, started at 1745373323290843073, ended at 1745373323290843074
Received 155, started at 1745373323335503745, ended at 1745373323335503746
Received 156, started at 1745373323348164327, ended at 1745373323348164328
Received 157, started at 1745373323487586461, ended at 1745373323487586462
Received 158, started at 1745373323651381443, ended at 1745373323651381444
Received 159, started at 1745373323850447357, ended at 1745373323850447358
Received 160, started at 1745373323927616385, ended at 1745373323927616386
Received 161, started at 1745373324081556023, ended at 1745373324081556024
Received 162, started at 1745373324160011130, ended at 1745373324160011131
Received 163, started at 1745373324246658648, ended at 1745373324246658649
Received 164, started at 1745373324317045656, ended at 1745373324317045657
Received 165, started at 1745373324407771143, ended at 1745373324407771144
Received 166, started at 1745373324470644408, ended at 1745373324470644409
Received 167, started at 1745373324581034082, ended at 1745373324581034083
Received 168, started at 1745373324705825225, ended at 1745373324705825226
Received 169, started at 1745373324872402743, ended at 1745373324872402744
Received 170, started at 1745373325014252342, ended at 1745373325014252343
Received 171, started at 1745373325120362861, ended at 1745373325120362862
Received 172, started at 1745373325176380966, ended at 1745373325176380967
Received 173, started at 1745373325305779535, ended at 1745373325305779536
Received 174, started at 1745373325401930129, ended at 1745373325401930130
Received 175, started at 1745373325745002743, ended at 1745373325745002744
Received 176, started at 1745373325940974258, ended at 1745373325940974259
Received 177, started at 1745373326307324767, ended at 1745373326307324768
Received 178, started at 1745373326473229940, ended at 1745373326473229941
Received 179, started at 1745373326851791632, ended at 1745373326851791633
Received 180, started at 1745373326991178724, ended at 1745373326991178725
Received 181, started at 1745373327121761723, ended at 1745373327121761724
Received 182, started at 1745373327263768676, ended at 1745373327263768677
Received 183, started at 1745373327423180217, ended at 1745373327423180218
Received 184, started at 1745373327563319159, ended at 1745373327563319160
Received 185, started at 1745373327708370194, ended at 1745373327708370195
Received 186, started at 1745373327782623787, ended at 1745373327782623788
Received 187, started at 1745373327913092123, ended at 1745373327913092124
Received 188, started at 1745373328059714800, ended at 1745373328059714801
Received 189, started at 1745373328104936349, ended at 1745373328104936350
Received 190, started at 1745373328148182128, ended at 1745373328148182129
Received 191, started at 1745373328246481598, ended at 1745373328246481599
Received 192, started at 1745373328327894120, ended at 1745373328327894121
Received 193, started at 1745373328449770843, ended at 1745373328449770844
Received 194, started at 1745373328584161183, ended at 1745373328584161184
Received 195, started at 1745373328678378896, ended at 1745373328678378897
Received 196, started at 1745373328865800219, ended at 1745373328865800220
Received 197, started at 1745373328983801582, ended at 1745373328983801583
Received 198, started at 1745373329134800630, ended at 1745373329134800631
Received 199, started at 1745373329202853449, ended at 1745373329202853450
Received 200, started at 1745373329417806962, ended at 1745373329417806963
Received 201, started at 1745373329536349656, ended at 1745373329536349657
Received 202, started at 1745373330058549200, ended at 1745373330058549201
Received 203, started at 1745373330166424477, ended at 1745373330166424478
Received 204, started at 1745373330241992035, ended at 1745373330241992036
Received 205, started at 1745373330372433119, ended at 1745373330372433120
Received 206, started at 1745373330547233292, ended at 1745373330547233293
Received 207, started at 1745373330620660172, ended at 1745373330620660173
Received 208, started at 1745373331718063030, ended at 1745373331718063031
Received 209, started at 1745373332192629577, ended at 1745373332192629578
Received 210, started at 1745373332223452212, ended at 1745373332223452213
Received 211, started at 1745373332254903276, ended at 1745373332254903277
Received 212, started at 1745373332266997023, ended at 1745373332266997024
Received 213, started at 1745373332273798941, ended at 1745373332273798942
Received 214, started at 1745373332306432333, ended at 1745373332306432334
Received 215, started at 1745373332316342626, ended at 1745373332316342627
Received 216, started at 1745373332316636636, ended at 1745373332316636637
Received 217, started at 1745373332424714080, ended at 1745373332424714081
Received 218, started at 1745373332561956347, ended at 1745373332561956348
Received 219, started at 1745373333123414590, ended at 1745373333123414591
Received 220, started at 1745373333191728131, ended at 1745373333191728132
