FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=2479
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service1
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Received 184, started at 1745373327564195056, ended at 1745373327564195057
Received 185, started at 1745373327727711977, ended at 1745373327727711978
Received 186, started at 1745373327745279448, ended at 1745373327745279449
Received 187, started at 1745373327909415342, ended at 1745373327909415343
Received 188, started at 1745373327994555005, ended at 1745373327994555006
Received 189, started at 1745373328025540819, ended at 1745373328025540820
Received 190, started at 1745373328107847316, ended at 1745373328107847317
Received 191, started at 1745373328228154574, ended at 1745373328228154575
Received 192, started at 1745373328343541264, ended at 1745373328343541265
Received 193, started at 1745373328448917116, ended at 1745373328448917117
Received 194, started at 1745373328576853223, ended at 1745373328576853224
Received 195, started at 1745373328680033909, ended at 1745373328680033910
Received 196, started at 1745373328871494983, ended at 1745373328871494984
Received 197, started at 1745373328983703523, ended at 1745373328983703524
Received 198, started at 1745373329123051549, ended at 1745373329123051550
Received 199, started at 1745373329226836469, ended at 1745373329226836470
Received 200, started at 1745373329416512300, ended at 1745373329416512301
Received 201, started at 1745373329586078975, ended at 1745373329586078976
Received 202, started at 1745373330058184405, ended at 1745373330058184406
Received 203, started at 1745373330262942417, ended at 1745373330262942418
Received 204, started at 1745373330655353175, ended at 1745373330655353176
Received 205, started at 1745373330696695758, ended at 1745373330696695759
Received 206, started at 1745373331150507552, ended at 1745373331150507553
Received 207, started at 1745373331186548359, ended at 1745373331186548360
Received 208, started at 1745373331711555515, ended at 1745373331711555516
Received 209, started at 1745373331721355558, ended at 1745373331721355559
Received 210, started at 1745373331722860489, ended at 1745373331722860490
Received 211, started at 1745373331732195329, ended at 1745373331732195330
Received 212, started at 1745373331748035449, ended at 1745373331748035450
Received 213, started at 1745373331814894151, ended at 1745373331814894152
Received 214, started at 1745373331977928790, ended at 1745373331977928791
Received 215, started at 1745373332134245645, ended at 1745373332134245646
Received 216, started at 1745373332308423229, ended at 1745373332308423230
Received 217, started at 1745373332426876312, ended at 1745373332426876313
Received 218, started at 1745373332561762713, ended at 1745373332561762714
Received 219, started at 1745373333123430042, ended at 1745373333123430043
Received 220, started at 1745373333191682462, ended at 1745373333191682463
